# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
3.400000  1.164777e-05  1.164777e-05  1.164777e-05  1.317649e-08  3.636030e-16  1.317649e-08
3.500000  1.532779e-05  1.532779e-05  1.532779e-05  7.758162e-09  2.210451e-16  7.758162e-09
3.600000  1.999713e-05  1.999713e-05  1.999713e-05  2.575093e-10  2.541464e-16  2.575095e-10
3.700000  2.587622e-05  2.587622e-05  2.587622e-05  3.531740e-10  0.000000e+00  3.531740e-10
3.800000  3.322440e-05  3.322440e-05  3.322440e-05  2.272771e-10  3.059317e-16  2.272774e-10
3.900000  4.234485e-05  4.234485e-05  4.234485e-05  6.968580e-10  8.001284e-17  6.968581e-10
4.000000  5.358987e-05  5.358987e-05  5.358987e-05  3.347041e-10  3.793402e-16  3.347045e-10
4.100000  6.736642e-05  6.736642e-05  6.736642e-05  4.291690e-10  2.011763e-16  4.291692e-10
4.200000  8.414202e-05  8.414202e-05  8.414202e-05  2.355393e-10  1.610673e-16  2.355392e-10
4.300000  1.044508e-04  1.044508e-04  1.044508e-04  4.588330e-11  1.297504e-16  4.588317e-11
4.400000  1.288997e-04  1.288997e-04  1.288997e-04  4.036433e-11  1.051401e-16  4.036422e-11
4.500000  1.581752e-04  1.581752e-04  1.581752e-04  3.453010e-12  8.568050e-17  3.453096e-12
4.600000  1.930493e-04  1.930493e-04  1.930493e-04  1.715789e-11  7.020242e-17  1.715796e-11
4.700000  2.343867e-04  2.343867e-04  2.343867e-04  4.597251e-12  3.469274e-16  4.596904e-12
4.800000  2.831506e-04  2.831506e-04  2.831506e-04  8.304476e-12  9.572662e-17  8.304571e-12
4.900000  3.404099e-04  3.404099e-04  3.404099e-04  4.079097e-12  2.388743e-16  4.079336e-12
5.000000  4.073442e-04  4.073442e-04  4.073442e-04  3.762888e-12  1.330818e-16  3.763021e-12
5.100000  4.852508e-04  4.852508e-04  4.852508e-04  5.346711e-13  1.675735e-16  5.348387e-13
5.200000  5.755489e-04  5.755489e-04  5.755489e-04  2.233022e-12  1.883771e-16  2.233210e-12
5.300000  6.797854e-04  6.797854e-04  6.797854e-04  2.656576e-12  7.974592e-17  2.656656e-12
5.400000  7.996384e-04  7.996384e-04  7.996384e-04  1.987835e-12  1.355866e-16  1.987699e-12
5.500000  9.369210e-04  9.369210e-04  9.369210e-04  5.682416e-13  1.157197e-16  5.681259e-13
5.600000  1.093584e-03  1.093584e-03  1.093584e-03  2.318934e-13  0.000000e+00  2.318934e-13
5.700000  1.271716e-03  1.271716e-03  1.271716e-03  2.734983e-13  0.000000e+00  2.734983e-13
5.800000  1.473545e-03  1.473545e-03  1.473545e-03  8.503386e-13  2.943112e-16  8.500443e-13
5.900000  1.701440e-03  1.701440e-03  1.701440e-03  2.770023e-13  1.274453e-16  2.768749e-13
6.000000  1.957901e-03  1.957901e-03  1.957901e-03  1.956978e-13  2.215029e-16  1.954763e-13
6.100000  2.245565e-03  2.245565e-03  2.245565e-03  6.566341e-15  2.896915e-16  6.856033e-15
6.200000  2.567194e-03  2.567194e-03  2.567194e-03  1.197727e-13  1.266989e-15  1.210397e-13
6.300000  2.925670e-03  2.925670e-03  2.925670e-03  3.424183e-14  5.781088e-15  4.002291e-14
6.400000  3.323985e-03  3.323985e-03  3.323985e-03  5.675452e-14  2.609403e-16  5.649358e-14
6.500000  3.765233e-03  3.765233e-03  3.765233e-03  1.497345e-14  4.031313e-16  1.457032e-14
6.600000  4.252595e-03  4.252595e-03  4.252595e-03  1.121783e-14  4.079212e-16  1.162575e-14
6.700000  4.789324e-03  4.789324e-03  4.789324e-03  6.519714e-15  0.000000e+00  6.519714e-15
6.800000  5.378731e-03  5.378731e-03  5.378731e-03  2.499494e-15  8.062885e-17  2.580123e-15
6.900000  6.024163e-03  6.024163e-03  6.024163e-03  7.918925e-16  7.199023e-17  8.638827e-16
7.000000  6.728985e-03  6.728985e-03  6.728985e-03  1.147204e-14  1.933490e-16  1.166539e-14
7.100000  7.496556e-03  7.496556e-03  7.496556e-03  7.751992e-15  3.471041e-16  7.404887e-15
7.200000  8.330202e-03  8.330202e-03  8.330202e-03  2.186573e-14  1.041225e-16  2.196986e-14
7.300000  9.233193e-03  9.233193e-03  9.233193e-03  6.293948e-15  1.878790e-16  6.481827e-15
7.400000  1.020871e-02  1.020871e-02  1.020871e-02  8.921102e-15  2.548886e-16  9.175991e-15
7.500000  1.125983e-02  1.125983e-02  1.125983e-02  1.771725e-15  7.703151e-17  1.694693e-15
7.600000  1.238946e-02  1.238946e-02  1.238946e-02  3.920449e-15  4.900561e-16  3.430393e-15
7.700000  1.360035e-02  1.360035e-02  1.360035e-02  9.693797e-15  1.913249e-16  9.502472e-15
7.800000  1.489500e-02  1.489500e-02  1.489500e-02  4.250917e-15  0.000000e+00  4.250917e-15
7.900000  1.627570e-02  1.627570e-02  1.627570e-02  1.012545e-14  2.131673e-16  9.912281e-15
8.000000  1.774441e-02  1.774441e-02  1.774441e-02  2.052995e-15  3.910467e-16  1.661948e-15
8.100000  1.930280e-02  1.930280e-02  1.930280e-02  5.751615e-15  8.986899e-17  5.841484e-15
8.200000  2.095216e-02  2.095216e-02  2.095216e-02  2.566629e-15  8.279449e-17  2.649424e-15
8.300000  2.269338e-02  2.269338e-02  2.269338e-02  1.528837e-15  5.350928e-16  9.937438e-16
8.400000  2.452691e-02  2.452691e-02  2.452691e-02  1.838911e-15  0.000000e+00  1.838911e-15
8.500000  2.645274e-02  2.645274e-02  2.645274e-02  2.951020e-15  5.246257e-16  2.426394e-15
8.600000  2.847034e-02  2.847034e-02  2.847034e-02  2.437236e-16  1.218618e-16  3.655854e-16
8.700000  3.057865e-02  3.057865e-02  3.057865e-02  3.403794e-16  5.672990e-17  3.971093e-16
8.800000  3.277602e-02  3.277602e-02  3.277602e-02  1.376092e-15  5.292661e-16  8.468258e-16
8.900000  3.506020e-02  3.506020e-02  3.506020e-02  2.177050e-15  0.000000e+00  2.177050e-15
9.000000  3.742834e-02  3.742834e-02  3.742834e-02  3.707829e-16  3.707829e-16  0.000000e+00
9.100000  3.987688e-02  3.987688e-02  3.987688e-02  3.480159e-16  0.000000e+00  3.480159e-16
9.200000  4.240163e-02  4.240163e-02  4.240163e-02  1.309175e-15  6.545874e-16  6.545874e-16
9.300000  4.499769e-02  4.499769e-02  4.499769e-02  1.542056e-16  3.084111e-16  4.626167e-16
9.400000  4.765945e-02  4.765945e-02  4.765945e-02  5.095764e-16  7.279663e-17  5.823730e-16
9.500000  5.038057e-02  5.038057e-02  5.038057e-02  2.203673e-15  3.098915e-15  8.952421e-16
9.600000  5.315403e-02  5.315403e-02  5.315403e-02  1.305431e-16  1.435975e-15  1.305431e-15
9.700000  5.597205e-02  5.597205e-02  5.597205e-02  4.958828e-16  1.859561e-16  3.099268e-16
9.800000  5.882614e-02  5.882614e-02  5.882614e-02  2.359119e-16  4.128458e-16  1.769339e-16
9.900000  6.170714e-02  6.170714e-02  6.170714e-02  5.622440e-17  6.746929e-16  7.309173e-16
10.000000  6.460515e-02  6.460515e-02  6.460515e-02  1.074046e-16  1.074046e-16  0.000000e+00
10.100000  6.750966e-02  6.750966e-02  6.750966e-02  1.027837e-16  3.083511e-16  2.055674e-16
10.200000  7.040949e-02  7.040949e-02  7.040949e-02  0.000000e+00  9.855054e-17  9.855054e-17
10.300000  7.329287e-02  7.329287e-02  7.329287e-02  5.680411e-16  2.840205e-16  2.840205e-16
10.400000  7.614748e-02  7.614748e-02  7.614748e-02  4.556221e-16  9.112441e-17  3.644976e-16
10.500000  7.896045e-02  7.896045e-02  7.896045e-02  8.787809e-17  8.787809e-17  0.000000e+00
10.600000  8.171851e-02  8.171851e-02  8.171851e-02  1.698243e-16  1.698243e-16  0.000000e+00
10.700000  8.440794e-02  8.440794e-02  8.440794e-02  8.220665e-17  3.288266e-16  2.466200e-16
10.800000  8.701470e-02  8.701470e-02  8.701470e-02  0.000000e+00  2.392318e-16  2.392318e-16
10.900000  8.952449e-02  8.952449e-02  8.952449e-02  7.750833e-17  0.000000e+00  7.750833e-17
11.000000  9.192281e-02  9.192281e-02  9.192281e-02  3.019444e-16  1.509722e-16  1.509722e-16
11.100000  9.419506e-02  9.419506e-02  9.419506e-02  0.000000e+00  7.366516e-17  7.366516e-17
11.200000  9.632661e-02  9.632661e-02  9.632661e-02  7.203507e-17  7.203507e-17  1.440701e-16
11.300000  9.830288e-02  9.830288e-02  9.830288e-02  0.000000e+00  7.058688e-17  7.058688e-17
11.400000  1.001095e-01  1.001095e-01  1.001095e-01  1.386261e-16  3.465653e-16  4.851914e-16
11.500000  1.017322e-01  1.017322e-01  1.017322e-01  6.820744e-17  2.046223e-16  2.728298e-16
11.600000  1.031573e-01  1.031573e-01  1.031573e-01  2.017955e-16  1.345304e-16  3.363259e-16
11.700000  1.043713e-01  1.043713e-01  1.043713e-01  1.329655e-16  3.324137e-16  1.994482e-16
11.800000  1.053616e-01  1.053616e-01  1.053616e-01  6.585793e-17  0.000000e+00  6.585793e-17
11.900000  1.061158e-01  1.061158e-01  1.061158e-01  1.307797e-16  1.307797e-16  0.000000e+00
12.000000  1.066225e-01  1.066225e-01  1.066225e-01  6.507906e-17  6.507906e-17  0.000000e+00
12.100000  1.068713e-01  1.068713e-01  1.068713e-01  1.298551e-16  6.492756e-17  6.492756e-17
12.200000  1.068525e-01  1.068525e-01  1.068525e-01  5.195121e-16  4.545730e-16  6.493901e-17
12.300000  1.065575e-01  1.065575e-01  1.065575e-01  1.302376e-16  6.511880e-17  6.511880e-17
12.400000  1.059788e-01  1.059788e-01  1.059788e-01  1.244013e-15  1.178538e-15  6.547435e-17
12.500000  1.051103e-01  1.051103e-01  1.051103e-01  6.667550e-15  6.403489e-15  2.640614e-16
12.600000  1.039470e-01  1.039470e-01  1.039470e-01  4.672789e-16  6.007871e-16  1.335083e-16
12.700000  1.024855e-01  1.024855e-01  1.024855e-01  1.354123e-16  6.770613e-17  6.770613e-17
12.800000  1.007235e-01  1.007235e-01  1.007235e-01  2.755621e-16  1.377810e-16  1.377810e-16
12.900000  9.866054e-02  9.866054e-02  9.866054e-02  1.406620e-16  0.000000e+00  1.406620e-16
13.000000  9.629760e-02  9.629760e-02  9.629760e-02  2.161703e-16  3.602839e-16  1.441135e-16
13.100000  9.363725e-02  9.363725e-02  9.363725e-02  7.410399e-17  1.482080e-16  7.410399e-17
13.200000  9.068374e-02  9.068374e-02  9.068374e-02  2.295525e-16  4.591050e-16  2.295525e-16
13.300000  8.744298e-02  8.744298e-02  8.744298e-02  7.935335e-17  0.000000e+00  7.935335e-17
13.400000  8.392256e-02  8.392256e-02  8.392256e-02  8.268211e-17  1.157550e-15  1.074867e-15
13.500000  8.013175e-02  8.013175e-02  8.013175e-02  8.659357e-17  8.659357e-17  1.731871e-16
13.600000  7.608152e-02  7.608152e-02  7.608152e-02  3.648136e-16  9.120341e-17  2.736102e-16
13.700000  7.178450e-02  7.178450e-02  7.178450e-02  0.000000e+00  9.666285e-17  9.666285e-17
13.800000  6.725494e-02  6.725494e-02  6.725494e-02  0.000000e+00  3.095190e-16  3.095190e-16
13.900000  6.250868e-02  6.250868e-02  6.250868e-02  3.330206e-16  6.660413e-16  3.330206e-16
14.000000  5.756311e-02  5.756311e-02  5.756311e-02  0.000000e+00  0.000000e+00  0.000000e+00
14.100000  5.243707e-02  5.243707e-02  5.243707e-02  0.000000e+00  1.323280e-16  1.323280e-16
14.200000  4.715079e-02  4.715079e-02  4.715079e-02  2.207458e-16  0.000000e+00  2.207458e-16
14.300000  4.172581e-02  4.172581e-02  4.172581e-02  2.494461e-16  0.000000e+00  2.494461e-16
14.400000  3.618485e-02  3.618485e-02  3.618485e-02  9.588120e-17  3.835248e-16  2.876436e-16
14.500000  3.055173e-02  3.055173e-02  3.055173e-02  2.838994e-16  1.703396e-16  1.135597e-16
14.600000  2.485123e-02  2.485123e-02  2.485123e-02  3.490217e-16  2.094130e-16  5.584346e-16
14.700000  1.910895e-02  1.910895e-02  1.910895e-02  3.631227e-16  9.985875e-16  6.354648e-16
14.800000  1.335119e-02  1.335119e-02  1.335119e-02  8.445466e-16  8.445466e-16  1.689093e-15
14.900000  7.604792e-03  7.604792e-03  7.604792e-03  9.124370e-16  1.767847e-15  8.554097e-16
15.000000  1.896979e-03  1.896979e-03  1.896979e-03  4.743794e-15  1.034490e-14  5.601106e-15
15.100000 -3.744800e-03 -3.744800e-03 -3.744800e-03  1.505515e-15  2.200368e-15  3.705882e-15
15.200000 -9.293040e-03 -9.293040e-03 -9.293040e-03  1.866691e-16  2.706702e-15  2.520033e-15
15.300000 -1.472035e-02 -1.472035e-02 -1.472035e-02  8.838394e-16  2.356905e-16  6.481489e-16
15.400000 -1.999963e-02 -1.999963e-02 -1.999963e-02  5.204266e-16  1.127591e-15  6.071644e-16
15.500000 -2.510425e-02 -2.510425e-02 -2.510425e-02  2.073024e-16  1.382016e-16  3.455040e-16
15.600000 -3.000821e-02 -3.000821e-02 -3.000821e-02  3.006032e-15  3.179457e-15  1.734249e-16
15.700000 -3.468633e-02 -3.468633e-02 -3.468633e-02  1.920451e-14  1.960460e-14  4.000939e-16
15.800000 -3.911442e-02 -3.911442e-02 -3.911442e-02  1.330499e-15  1.507899e-15  1.773999e-16
15.900000 -4.326946e-02 -4.326946e-02 -4.326946e-02  3.207294e-16  7.216411e-16  4.009117e-16
16.000000 -4.712975e-02 -4.712975e-02 -4.712975e-02  7.361480e-16  8.097628e-16  7.361480e-17
16.100000 -5.067506e-02 -5.067506e-02 -5.067506e-02  6.161813e-16  6.161813e-16  0.000000e+00
16.200000 -5.388681e-02 -5.388681e-02 -5.388681e-02  5.150718e-16  1.287680e-16  6.438398e-16
16.300000 -5.674819e-02 -5.674819e-02 -5.674819e-02  1.834127e-16  2.445503e-16  6.113758e-17
16.400000 -5.924431e-02 -5.924431e-02 -5.924431e-02  2.928085e-16  2.342468e-16  5.856169e-17
16.500000 -6.136230e-02 -6.136230e-02 -6.136230e-02  0.000000e+00  1.130807e-16  1.130807e-16
16.600000 -6.309146e-02 -6.309146e-02 -6.309146e-02  1.099815e-16  0.000000e+00  1.099815e-16
16.700000 -6.442329e-02 -6.442329e-02 -6.442329e-02  1.077079e-16  1.077079e-16  0.000000e+00
16.800000 -6.535164e-02 -6.535164e-02 -6.535164e-02  0.000000e+00  2.123556e-16  2.123556e-16
16.900000 -6.587275e-02 -6.587275e-02 -6.587275e-02  0.000000e+00  1.053379e-16  1.053379e-16
17.000000 -6.598529e-02 -6.598529e-02 -6.598529e-02  1.051582e-16  0.000000e+00  1.051582e-16
17.100000 -6.569041e-02 -6.569041e-02 -6.569041e-02  1.056302e-16  2.112605e-16  1.056302e-16
17.200000 -6.499178e-02 -6.499178e-02 -6.499178e-02  0.000000e+00  0.000000e+00  0.000000e+00
17.300000 -6.389554e-02 -6.389554e-02 -6.389554e-02  1.085975e-16  1.085975e-16  0.000000e+00
17.400000 -6.241033e-02 -6.241033e-02 -6.241033e-02  0.000000e+00  1.111818e-16  1.111818e-16
17.500000 -6.054724e-02 -6.054724e-02 -6.054724e-02  5.730149e-17  1.146030e-16  5.730149e-17
17.600000 -5.831975e-02 -5.831975e-02 -5.831975e-02  1.189802e-16  0.000000e+00  1.189802e-16
17.700000 -5.574367e-02 -5.574367e-02 -5.574367e-02  0.000000e+00  0.000000e+00  0.000000e+00
17.800000 -5.283707e-02 -5.283707e-02 -5.283707e-02  1.313262e-16  0.000000e+00  1.313262e-16
17.900000 -4.962014e-02 -4.962014e-02 -4.962014e-02  1.398403e-16  6.992013e-17  6.992013e-17
18.000000 -4.611513e-02 -4.611513e-02 -4.611513e-02  7.523447e-17  1.504689e-16  7.523447e-17
18.100000 -4.234612e-02 -4.234612e-02 -4.234612e-02  0.000000e+00  2.457921e-16  2.457921e-16
18.200000 -3.833898e-02 -3.833898e-02 -3.833898e-02  9.049398e-17  3.619759e-16  2.714819e-16
18.300000 -3.412113e-02 -3.412113e-02 -3.412113e-02  0.000000e+00  7.117621e-16  7.117621e-16
18.400000 -2.972139e-02 -2.972139e-02 -2.972139e-02  0.000000e+00  1.167323e-15  1.167323e-15
18.500000 -2.516979e-02 -2.516979e-02 -2.516979e-02  0.000000e+00  1.033813e-15  1.033813e-15
18.600000 -2.049737e-02 -2.049737e-02 -2.049737e-02  8.463151e-17  4.231575e-16  5.077890e-16
18.700000 -1.573598e-02 -1.573598e-02 -1.573598e-02  2.204786e-16  2.204786e-16  4.409572e-16
18.800000 -1.091804e-02 -1.091804e-02 -1.091804e-02  5.561009e-16  1.191645e-15  6.355439e-16
18.900000 -6.076353e-03 -6.076353e-03 -6.076353e-03  1.641554e-15  2.569388e-15  9.278347e-16
19.000000 -1.243850e-03 -1.243850e-03 -1.243850e-03  2.109393e-14  2.771847e-14  6.624540e-15
19.100000  3.546623e-03  3.546623e-03  3.546623e-03  3.729539e-15  2.262179e-15  1.467359e-15
19.200000  8.262542e-03  8.262542e-03  8.262542e-03  1.049752e-15  1.049752e-16  9.447766e-16
19.300000  1.287193e-02  1.287193e-02  1.287193e-02  4.716878e-16  4.716878e-16  9.433756e-16
19.400000  1.734359e-02  1.734359e-02  1.734359e-02  0.000000e+00  9.001891e-16  9.001891e-16
19.500000  2.164732e-02  2.164732e-02  2.164732e-02  8.013571e-17  4.808143e-16  5.609500e-16
19.600000  2.575414e-02  2.575414e-02  2.575414e-02  2.694283e-16  1.683927e-15  1.414498e-15
19.700000  2.963649e-02  2.963649e-02  2.963649e-02  0.000000e+00  1.170667e-16  1.170667e-16
19.800000  3.326845e-02  3.326845e-02  3.326845e-02  1.042864e-16  1.042864e-16  2.085728e-16
19.900000  3.662589e-02  3.662589e-02  3.662589e-02  9.472663e-17  1.894533e-16  9.472663e-17
20.000000  3.968670e-02  3.968670e-02  3.968670e-02  8.742090e-17  0.000000e+00  8.742090e-17
20.100000  4.243092e-02  4.243092e-02  4.243092e-02  0.000000e+00  0.000000e+00  0.000000e+00
20.200000  4.484089e-02  4.484089e-02  4.484089e-02  1.547448e-16  2.321172e-16  7.737240e-17
20.300000  4.690139e-02  4.690139e-02  4.690139e-02  0.000000e+00  1.479464e-16  1.479464e-16
20.400000  4.859976e-02  4.859976e-02  4.859976e-02  2.141645e-16  7.138815e-17  1.427763e-16
20.500000  4.992598e-02  4.992598e-02  4.992598e-02  0.000000e+00  6.949182e-17  6.949182e-17
20.600000  5.087275e-02  5.087275e-02  5.087275e-02  1.363971e-16  6.819854e-17  2.045956e-16
20.700000  5.143556e-02  5.143556e-02  5.143556e-02  6.745230e-17  2.698092e-16  2.023569e-16
20.800000  5.161273e-02  5.161273e-02  5.161273e-02  3.361038e-16  3.361038e-16  0.000000e+00
20.900000  5.140538e-02  5.140538e-02  5.140538e-02  0.000000e+00  0.000000e+00  0.000000e+00
21.000000  5.081747e-02  5.081747e-02  5.081747e-02  0.000000e+00  1.365454e-16  1.365454e-16
21.100000  4.985577e-02  4.985577e-02  4.985577e-02  0.000000e+00  2.087690e-16  2.087690e-16
21.200000  4.852977e-02  4.852977e-02  4.852977e-02  2.144733e-16  3.574555e-16  1.429822e-16
21.300000  4.685166e-02  4.685166e-02  4.685166e-02  1.481035e-16  2.962070e-16  4.443104e-16
21.400000  4.483620e-02  4.483620e-02  4.483620e-02  7.738049e-17  3.095220e-16  2.321415e-16
21.500000  4.250062e-02  4.250062e-02  4.250062e-02  8.163285e-17  6.530628e-16  5.714299e-16
21.600000  3.986452e-02  3.986452e-02  3.986452e-02  1.740619e-16  2.610928e-16  8.703094e-17
21.700000  3.694967e-02  3.694967e-02  3.694967e-02  1.877931e-16  8.450692e-16  6.572760e-16
21.800000  3.377986e-02  3.377986e-02  3.377986e-02  5.135378e-16  6.162454e-16  1.027076e-16
21.900000  3.038075e-02  3.038075e-02  3.038075e-02  1.141989e-15  5.138949e-16  6.280937e-16
22.000000  2.677964e-02  2.677964e-02  2.677964e-02  1.042921e-14  1.062354e-14  1.943331e-16
22.100000  2.300527e-02  2.300527e-02  2.300527e-02  4.524329e-16  1.508110e-16  3.016219e-16
22.200000  1.908759e-02  1.908759e-02  1.908759e-02  2.726468e-16  8.179403e-16  5.452935e-16
22.300000  1.505755e-02  1.505755e-02  1.505755e-02  2.592139e-15  2.246521e-15  3.456186e-16
22.400000  1.094684e-02  1.094684e-02  1.094684e-02  5.546379e-16  5.546379e-16  1.109276e-15
22.500000  6.787645e-03  6.787645e-03  6.787645e-03  3.322420e-15  4.472488e-15  1.150068e-15
22.600000  2.612412e-03  2.612412e-03  2.612412e-03  4.980236e-16  4.980236e-16  9.960471e-16
22.700000 -1.546416e-03 -1.546416e-03 -1.546416e-03  2.734315e-15  1.928043e-14  1.654611e-14
22.800000 -5.656648e-03 -5.656648e-03 -5.656648e-03  4.600048e-16  8.433421e-16  1.303347e-15
22.900000 -9.686598e-03 -9.686598e-03 -9.686598e-03  1.701307e-15  3.044443e-15  1.343137e-15
23.000000 -1.360533e-02 -1.360533e-02 -1.360533e-02  1.275032e-16  1.275032e-16  0.000000e+00
23.100000 -1.738289e-02 -1.738289e-02 -1.738289e-02  2.993846e-16  9.979487e-17  3.991795e-16
23.200000 -2.099057e-02 -2.099057e-02 -2.099057e-02  1.652860e-16  5.785009e-16  4.132149e-16
23.300000 -2.440109e-02 -2.440109e-02 -2.440109e-02  7.109204e-17  4.976443e-16  4.265522e-16
23.400000 -2.758885e-02 -2.758885e-02 -2.758885e-02  6.287771e-17  5.658994e-16  5.030217e-16
23.500000 -3.053008e-02 -3.053008e-02 -3.053008e-02  2.272806e-16  7.954819e-16  5.682014e-16
23.600000 -3.320309e-02 -3.320309e-02 -3.320309e-02  4.179667e-16  0.000000e+00  4.179667e-16
23.700000 -3.558838e-02 -3.558838e-02 -3.558838e-02  0.000000e+00  2.924645e-16  2.924645e-16
23.800000 -3.766883e-02 -3.766883e-02 -3.766883e-02  1.842078e-16  5.526235e-16  3.684157e-16
23.900000 -3.942980e-02 -3.942980e-02 -3.942980e-02  2.639714e-16  2.639714e-16  0.000000e+00
24.000000 -4.085926e-02 -4.085926e-02 -4.085926e-02  8.491213e-17  3.396485e-16  2.547364e-16
24.100000 -4.194789e-02 -4.194789e-02 -4.194789e-02  8.270849e-17  8.270849e-17  0.000000e+00
24.200000 -4.268912e-02 -4.268912e-02 -4.268912e-02  0.000000e+00  5.689067e-16  5.689067e-16
24.300000 -4.307920e-02 -4.307920e-02 -4.307920e-02  8.053648e-17  4.026824e-16  3.221459e-16
24.400000 -4.311721e-02 -4.311721e-02 -4.311721e-02  8.046547e-17  2.413964e-16  3.218619e-16
24.500000 -4.280508e-02 -4.280508e-02 -4.280508e-02  8.105222e-17  2.431567e-16  1.621044e-16
24.600000 -4.214754e-02 -4.214754e-02 -4.214754e-02  1.646334e-16  3.292669e-16  4.939003e-16
24.700000 -4.115209e-02 -4.115209e-02 -4.115209e-02  9.273871e-16  1.096003e-15  1.686158e-16
24.800000 -3.982894e-02 -3.982894e-02 -3.982894e-02  3.484348e-16  6.968696e-16  3.484348e-16
24.900000 -3.819090e-02 -3.819090e-02 -3.819090e-02  9.084487e-17  2.725346e-16  3.633795e-16
25.000000 -3.625329e-02 -3.625329e-02 -3.625329e-02  9.570021e-17  3.828008e-16  2.871006e-16
25.100000 -3.403379e-02 -3.403379e-02 -3.403379e-02  1.192713e-14  1.162130e-14  3.058238e-16
25.200000 -3.155230e-02 -3.155230e-02 -3.155230e-02  9.786317e-15  1.000623e-14  2.199172e-16
25.300000 -2.883077e-02 -2.883077e-02 -2.883077e-02  2.286428e-15  2.827951e-15  5.415224e-16
25.400000 -2.589303e-02 -2.589303e-02 -2.589303e-02  2.009873e-16  3.349789e-16  5.359662e-16
25.500000 -2.276454e-02 -2.276454e-02 -2.276454e-02  0.000000e+00  8.382317e-16  8.382317e-16
25.600000 -1.947223e-02 -1.947223e-02 -1.947223e-02  1.069044e-15  1.959915e-15  8.908704e-16
25.700000 -1.604426e-02 -1.604426e-02 -1.604426e-02  9.730904e-16  1.729938e-15  7.568481e-16
