terms     sum_up           sum_down         rel_diff      
  20000   1.04807568e+01   1.04807339e+01   2.18383161e-06
  20625   1.05114985e+01   1.05115042e+01   5.44360489e-07
  21250   1.05413685e+01   1.05413561e+01   1.17610659e-06
  21875   1.05703316e+01   1.05703402e+01   8.11995847e-07
  22500   1.05985365e+01   1.05985107e+01   2.42950887e-06
  23125   1.06259260e+01   1.06259098e+01   1.52574705e-06
  23750   1.06525698e+01   1.06525764e+01   6.26676808e-07
  24375   1.06785383e+01   1.06785507e+01   1.16099773e-06
  25000   1.07038555e+01   1.07038679e+01   1.15825173e-06
  25625   1.07285471e+01   1.07285595e+01   1.15558601e-06
  26250   1.07526417e+01   1.07526569e+01   1.41907253e-06
  26875   1.07761698e+01   1.07761889e+01   1.76996741e-06
  27500   1.07991629e+01   1.07991781e+01   1.41295936e-06
  28125   1.08216572e+01   1.08216505e+01   6.16885416e-07
  28750   1.08436899e+01   1.08436298e+01   5.54070130e-06
  29375   1.08651476e+01   1.08651352e+01   1.14105887e-06
  30000   1.08861637e+01   1.08861876e+01   2.19010417e-06
  30625   1.09068041e+01   1.09068069e+01   2.62315382e-07
  31250   1.09270697e+01   1.09270096e+01   5.49842252e-06
  31875   1.09467869e+01   1.09468136e+01   2.43933209e-06
  32500   1.09662304e+01   1.09662313e+01   8.69646399e-08
  33125   1.09853039e+01   1.09852800e+01   2.17034358e-06
  33750   1.10039368e+01   1.10039721e+01   3.20666095e-06
  34375   1.10224142e+01   1.10223198e+01   8.56565202e-06
  35000   1.10402994e+01   1.10403385e+01   3.54162285e-06
  35625   1.10581036e+01   1.10580359e+01   6.12320946e-06
  36250   1.10753889e+01   1.10754280e+01   3.53040218e-06
  36875   1.10925951e+01   1.10925226e+01   6.53404231e-06
  37500   1.11092844e+01   1.11093311e+01   4.20638662e-06
  38125   1.11259737e+01   1.11258602e+01   1.02002596e-05
  38750   1.11420717e+01   1.11421213e+01   4.45078376e-06
  39375   1.11581650e+01   1.11581211e+01   3.93156961e-06
  40000   1.11738462e+01   1.11738710e+01   2.21906612e-06
  40625   1.11893435e+01   1.11893749e+01   2.81260554e-06
  41250   1.12047167e+01   1.12046423e+01   6.63888659e-06
  41875   1.12196178e+01   1.12196798e+01   5.52502433e-06
  42500   1.12345190e+01   1.12344961e+01   2.03731088e-06
  43125   1.12491093e+01   1.12490950e+01   1.27166720e-06
  43750   1.12634144e+01   1.12634830e+01   6.09622793e-06
  44375   1.12777195e+01   1.12776680e+01   4.56639600e-06
  45000   1.12916622e+01   1.12916546e+01   6.75666456e-07
  45625   1.13053713e+01   1.13054485e+01   6.83280132e-06
  46250   1.13190804e+01   1.13190565e+01   2.10634448e-06
  46875   1.13325300e+01   1.13324795e+01   4.46015611e-06
  47500   1.13456430e+01   1.13457251e+01   7.22882714e-06
  48125   1.13587561e+01   1.13587952e+01   3.44232944e-06
  48750   1.13718691e+01   1.13716993e+01   1.49276511e-05
